Administrative_Duration,Informational_Duration,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue
0,0,0,1,1,0,0,2,1,1,1,1,0,0
0,0,0.001000414,0,0.5,0,0,2,2,2,1,2,0,0
0,0,0,1,1,0,0,2,4,1,9,3,0,0
0,0,4.168391193801554e-05,0.25,0.7000000000000001,0,0,2,3,2,2,4,0,0
0,0,0.009808746,0.1,0.25,0,0,2,3,3,1,4,1,0
0,0,0.002410633,0.07894737,0.12280701999999999,0,0,2,2,2,1,3,0,0
0,0,0,1,1,0,0.4,2,2,4,3,3,0,0
0,0,0,1,1,0,0,2,1,2,1,5,1,0
0,0,0.000578364,0,0.5,0,0.8,2,2,2,2,3,0,0
0,0,0.011536022627403799,0,0.11111111,0,0.4,2,2,4,1,2,0,0
0,0,0.006174429,0,0.333333335,0,0,2,1,1,3,3,0,0
0,0,0.006373731,0.09375,0.129166665,0,0.4,2,1,1,4,3,0,0
0,0,0.004384626,0,0.142857145,0,0,2,1,1,1,3,0,0
0,0,0.001531884,0,0.333333335,0,0,2,2,5,1,3,0,0
0,0,0.00106294,0,0.5,0,0,2,3,2,3,3,0,0
0.015593968,0,0.026077744,0.041666665,0.08156318,0,0,2,1,1,9,3,0,0
0,0,0,1,1,0,0,2,1,1,4,3,0,0
0,0,0.00523602,0,0.03846154,0,0,2,1,1,1,4,1,0
0,0,0.000500207,0,0.5,0,0,2,2,2,1,3,0,0
0,0,0.046600008,0,0.05,0,0,2,2,4,4,4,0,0
0,0,0.002128485,0,0.041666665,0,1,2,2,2,5,1,1,0
0,0,0,1,1,0,0,2,3,3,1,3,0,0
0,0,0.001641304,0,0.166666665,0,0,2,3,2,1,5,0,0
0,0,0.000234472,0,0.5,0,0.8,2,2,4,1,3,0,0
0,0,0,1,1,0,0,2,2,2,4,1,1,0
0,0,0.002438509,0,0.2,0,0,2,1,1,9,3,0,0
0.019006988,0,0.017748662,0.014285715,0.04761905,0,0,2,2,2,1,3,0,0
0,0,0.001187991,0.25,0.5,0,0,2,1,1,1,3,0,0
0,0,0.000984782,0,0.25,0,0.2,2,2,6,1,3,0,0
0.001765355,0,0.024740704,0.21739130499999998,0.25410628,0.14976560109491724,0.4,2,3,2,1,1,0,0
0,0,0.000547101,0,0.5,0,0,2,1,1,6,3,0,0
0,0,0.001219254,0,0.333333335,0,0,2,1,2,6,6,1,0
0,0,0.003274792,0,0.125,0,0,2,2,2,1,1,0,0
0,0,0.002870979,0.2,0.4,0,0,2,1,1,3,1,0,0
0,0,0.005947773,0.07142857,0.142857145,0,0,2,2,2,1,1,0,0
0,0,0.032611036,0.076923075,0.10176282,0,0,2,2,2,7,1,0,0
0,0,0.006065009,0.125,0.28125,0,0,2,3,2,1,4,1,0
0.005296065,0,0.004658177,0,0.142857145,0,0.8,2,2,2,8,4,0,0
0,0,0.000984782,0.142857145,0.357142855,0,0.6,2,2,2,1,3,0,0
0,0,0.007534367,0,0.11111111,0,0,2,2,5,1,6,0,0
0.002648032,0,0.063845069,0,0.00897436,0,0,2,2,2,8,4,0,0
0,0,0.000343892,0,0.333333335,0,0.6,2,1,1,3,2,0,0
0,0,0.00484836,0,0.033333335,0,0,2,1,1,4,4,0,0
0,0,0.00053147,0,0.25,0,0.4,2,3,2,2,3,0,0
0,0,0.001375569,0,0.25,0,0,2,4,1,1,3,0,0
0,0,0.00972668,0.015151514999999999,0.030303029999999998,0,0.2,2,2,5,1,4,0,0
0,0,0.003476438,0.085714285,0.285714285,0,0,2,1,1,1,2,0,0
0,0,0.001250517,0.333333335,0.6666666649999999,0,0.2,2,3,2,1,3,0,0
0,0,0.0125182,0,0.01818182,0,0,2,3,2,1,3,0,0
0,0,0,1,1,0,0.6,2,2,2,3,2,0,0
0,0,0,1,1,0,0,2,1,1,3,4,1,0
0,0,0.004144944,0.055555555,0.130555555,0,0.2,2,3,2,1,3,0,0
0,0,0.000453313,0,0.5,0,1,2,2,4,4,2,1,0
0,0,0.002501035,0,0.375,0,0,2,4,2,2,3,0,0
0,0,0.002120669,0.25,0.125,0,0.4,2,3,3,1,4,0,0
0,0,0,1,1,0,0.2,2,2,4,1,3,0,0
0,0,0,1,1,0,0.6,2,3,2,3,3,0,0
0.016476645825671203,0.04707036,0.015611797379379651,0,0.073682335,0.053756297,0.2,2,2,2,4,1,0,0
0,0,0.001625673,0,0.25,0,0.4,2,2,6,6,3,0,0
0.004707613,0,0.00596632,0.05882353,0.232843135,0,0.6,2,2,4,2,1,0,0
0,0,0.002641718,0,0.083333335,0,0.4,2,1,1,3,3,0,0
0,0,0.006265092,0.25,0.604166665,0,0,2,1,1,1,3,0,0
0.082211597,0,0.024284786562392156,0.045,0.098333335,0.10589367657135017,0,2,1,1,3,2,0,0
0,0,0.011043631,0,0.035714285,0,0,2,2,2,5,4,1,0
0,0,0,1,1,0,0,2,2,2,4,3,0,0
0.025842834374402355,0,0.012479121134362465,0,0.06321839,0.063345308,0.8,2,2,2,3,1,0,1
0.012945936005884517,0,0.10866952419793316,0.01075269,0.07506517,0,0,2,4,1,1,3,0,0
0,0,0,1,1,0,0.6,2,2,2,5,1,0,0
0,0,0.014099583,0,0.037037035,0,0,2,2,7,2,4,0,0
0,0,0,1,1,0,0.2,2,3,2,3,3,0,0
0,0,0,1,1,0,0,2,2,6,1,2,0,0
0,0,0.003085304,0.125,0.2625,0,0,2,2,6,6,1,0,0
0,0,0.000672153,0,0.5,0,0.4,2,2,2,3,3,0,0
0,0,0.006669426,0,0.0625,0,0,2,2,4,3,2,0,0
0,0,0.002110248,0,0.333333335,0,0,2,2,4,3,3,0,0
0,0,0.009196513,0,0.125,0,0,2,2,4,1,1,0,0
0.295893098,0,0.033003368,0.02173913,0.07246377,0.031621223,0,2,2,6,1,2,0,1
0,0,0.001187991,0,0.25,0,0.6,2,3,2,3,3,0,0
0,0,0,1,1,0,1,2,1,1,1,3,1,0
0,0,0,1,1,0,0.4,2,1,1,1,3,0,0
0,0,0.003251345,0,0.142857145,0,0,2,4,1,1,5,1,0
0,0,0.004220496,0,0.083333335,0,0.8,2,1,1,1,3,0,0
0,0,0.000617443,0,0.1,0,0,2,2,2,1,3,0,0
0,0,0.0058618,0.083333335,0.291666665,0,0,2,3,2,4,1,0,0
0,0,0,1,1,0,0.8,2,2,2,2,1,1,0
0,0,0,1,1,0,0,2,1,1,1,3,0,0
0,0,0.00234472,0.285714285,0.42857143,0,0,2,2,2,2,1,0,0
0,0,0.002157142,0,0.333333335,0,0,2,1,1,1,3,0,0
0,0,0.00527562,0.142857145,0.11904761999999999,0,0.4,2,4,1,3,3,0,0
0,0,0.009692031,0,0.039473685,0,0,2,1,1,4,2,0,0
0.010592129,0,0.002639313,0,0.05882353,0,0.4,2,1,1,1,3,0,0
0,0,0,1,1,0,0,2,1,1,1,2,1,0
0,0,0.000812836,0,0.5,0,0,2,1,1,1,3,0,0
0,0,0.010148729933390131,0,0.076923075,0,0,2,2,2,1,5,0,0
0,0,0.014464317440162305,0.01851852,0.12962963,0,0.6,2,4,1,3,3,0,0
0,0,0.000515838,0,0.5,0,0.2,2,1,1,1,3,0,0
0,0,0.024486693,0.25,0.333333335,0,0.2,2,1,1,1,3,0,0
0,0,0.001641304,0,0.125,0,0.6,2,1,1,1,4,0,0
0,0,0.000781573,0.19047619,0.40476190500000003,0,0.6,2,2,4,1,7,0,0
0,0,0.010069791025167382,0.020833334999999998,0.15833333500000002,0,0,2,3,2,3,4,0,0
0.00539414,0,0.041191694,0,0.04473684,0,0.4,2,2,4,1,2,0,0
0.017947774917248988,0,0.0094883,0,0.134920635,0.048473511573880586,1,2,1,1,7,4,1,1
0,0,0.006487059,0,0.166666665,0,0.4,2,1,1,3,2,0,0
0.009121,0.006276048,0.032568645267165554,0,0.06755125,0,0.8,2,2,2,4,3,0,0
0.017212210371460097,0,0.004402863,0.03529412,0.088235295,0,0,2,1,1,3,4,0,0
0,0,0.00042205,0.75,0.75,0,0,2,1,1,7,2,0,0
